Gene	VF	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
ecpA	Adherence	0	26.698271	166.328415	0	0	407.909882	0	35.785992	62.662701	0	12.610674	235.194138	0	40.459614	65.570633	469.956818	0	87.227982	133.458145
ecpB	Adherence	0	12.453547	25.943933	0	0	635.294556	0	0	0	0	8.908286	32.750282	0	0	0	230.478714	0	0	123.640511
ecpC	Adherence	11.417499	29.652176	43.962517	0	11.245065	364.245667	0	9.348461	38.751404	0	10.707715	86.091286	0	9.704503	12.616784	222.664795	0	106.142189	0
ecpD	Adherence	0	40.114834	0	0	0	204.380981	0	52.01696	23.796488	0	24.960423	40.036255	0	26.442327	0	97.681725	0	113.90229	65.973076
ecpE	Adherence	0	8.915298	6.043603	0	0	111.661713	0	41.055264	0	0	19.22855	42.854324	0	23.446093	5.593576	0	0	0	0
fimA	Adherence	1394.906372	502.594513	7.74235	0	0	9.031101	0	0	0	0	138.080811	65.021408	1251.649292	29.445915	1.162043	38.242466	0	0	0
fimB	Adherence	0	94.684723	25.709621	0	0	3.422652	0	14.316599	43.126442	13.394526	9.3765	18.9986	0	55.287983	58.021656	17.857981	0	44.11068	16.207935
fimC	Adherence	1027.797119	1085.027222	0	0	0	0	0	6.813978	50.943794	0	15.786322	50.298248	743.129639	0	11.030005	0	0	0	0
fimD	Adherence	815.12146	702.727539	3.258979	0	0	11.907709	0	6.694669	0	0	24.976009	24.654362	404.505005	37.370228	3.077464	0	0	0	0
fimE	Adherence	23.680988	715.835815	13.830777	0	0	39.756542	0	37.207268	63.887642	0	0	0	0	0	75.88913	39.734585	0	0	59.494812
fimF	Adherence	386.053955	462.088776	0	0	0	0	0	0	0	0	0	0	674.033386	46.165272	0	0	0	61.44598	0
fimH	Adherence	450.27298	544.81012	14.182457	0	0	24.325197	0	42.806286	0	20.735191	92.228333	31.399744	1040.684448	36.738918	39.697628	59.452522	0	27.099529	15.838696
fimI	Adherence	2103.879395	1686.70874	15.914822	0	0	55.692062	0	9.161011	0	0	95.082542	0	1681.484985	30.869183	0	0	0	151.711548	66.65625
sfaA	Adherence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.332308	0
sfaC	Adherence	0	0	0	0	0	0	0	4.339439	0	0	0	0	0	0	0	0	0	0	0
sfaD	Adherence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sfaF	Adherence	0	0	0	0	0	0	0	0	0	0	0	0	68.354004	0	0	0	0	40.843288	0
sfaG	Adherence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sfaH	Adherence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110.89698	0
sfaS	Adherence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.091571	0
sfaX	Adherence	0	28.780642	0	0	0	0	0	2.24048	118.998627	0	0	0	0	0	0	0	0	72.600441	0
sfaY	Adherence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cdiA	Effector delivery system	0	82.181435	0	0	0	0	352.573242	0	136.232941	0	0	0	45.929012	0	0	63.978039	0	2.753504	0
UTI89_RS01245	Effector delivery system	0	0	0	0	0	0	0	0	0	0	0	6.806674	0	0	0	0	0	0	0
UTI89_RS15585	Effector delivery system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTI89_RS15595	Effector delivery system	0	25.765722	0	0	0	6.593068	0	0	0	0	0	0	0	0	0	45.041508	0	30.981531	0
tssC	Effector delivery system	0	0	14.127606	0	0	9.77056	0	0	0	0	0	29.508333	0	0	0	23.018984	0	0	12.03903
tssK	Effector delivery system	0	12.392531	6.318527	0	0	11.128152	0	0	0	0	0	46.883453	0	0	0	7.348228	0	40.288971	0
cnf1	Exotoxin	0	46.138222	0	0	0	0	0	0	24.545441	0	0	0	0	0	0	0	0	105.288544	0
hlyA	Exotoxin	0	12.139238	0	0	0	0	0	0	12.779339	0	0	0	174.304565	0	0	0	0	51.3232	0
hlyB	Exotoxin	0	16.240595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hlyC	Exotoxin	14.478281	299.214691	73.011322	0	0	221.946075	0	168.740952	468.813019	282.070709	165.467941	145.646103	0	35.769646	62.317108	178.46962	0	0	45.712082
hlyD	Exotoxin	0	8.52617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.039612	0
senB	Exotoxin	683.075134	1349.955933	0	0	0	0	0	0	627.852905	111.139244	0	354.717072	0	0	0	897.362427	826.520386	571.179749	0
ibeA	Invasion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chuA	Nutritional/Metabolic factor	959.61499	768.532898	910.785583	2423.44751	0	48.991375	0	0	1228.05957	200.229874	0	680.046631	0	78.374702	0	0	0	0	0
chuS	Nutritional/Metabolic factor	734.49408	676.386963	880.786926	0	0	41.260372	0	0	882.845581	287.570557	0	900.683044	0	158.660339	0	0	0	0	0
chuT	Nutritional/Metabolic factor	150.800613	542.485535	446.781097	0	0	32.867455	0	0	418.735687	93.087616	0	224.897491	0	45.544746	0	0	0	0	39.59853
chuY	Nutritional/Metabolic factor	0	535.880371	1233.970093	0	48.875027	0	0	0	1111.827271	738.47821	0	859.275879	0	11.261616	0	0	0	0	0
fyuA	Nutritional/Metabolic factor	852.029541	1098.287842	327.143951	0	15.08302	510.210571	0	783.690552	1345.845459	32.228695	0	21.671465	0	0	0	649.876709	2452.259766	264.847443	118.715012
iroB	Nutritional/Metabolic factor	0	0	946.055664	0	2.679333	0	0	0	0	0	0	0	0	168.989609	0	0	0	638.433838	216.159058
iroC	Nutritional/Metabolic factor	0	0	682.00415	0	8.251184	0	0	0	0	0	0	0	0	291.709198	0	0	0	251.646652	119.968132
iroD	Nutritional/Metabolic factor	0	0	642.803101	0	12.154322	0	0	0	0	0	0	0	0	331.367371	0	0	0	65.451752	58.72105
iroE	Nutritional/Metabolic factor	0	0	593.305786	0	15.309362	0	0	0	0	0	0	0	0	383.032715	0	0	0	280.533264	37.113491
iroN	Nutritional/Metabolic factor	0	0	869.202515	0	56.010941	0	0	0	0	0	0	0	0	653.024658	0	0	0	628.046814	140.528534
irp1	Nutritional/Metabolic factor	153.665451	1363.543823	8.121919	0	4.81957	0	0	143.090576	1792.484863	0	0	1.538848	18.946379	0	0	1284.996948	260.151947	524.048828	7.559047
irp2	Nutritional/Metabolic factor	262.197571	1412.109741	131.789642	0	4.99299	117.974686	0	314.912903	1985.065308	16.860088	0	9.565602	0	0	0	1111.732056	484.931335	586.438538	47.221935
papA	Nutritional/Metabolic factor	0	59.088226	0	0	0	0	0	30.527149	16.394062	0	0	185.096085	0	0	0	0	1723.385132	0	0
papC	Nutritional/Metabolic factor	0	67.563103	0	0	0	29.765882	0	0	58.303265	201.258575	0	671.982666	0	0	0	131.38884	0	62.992256	0
papF	Nutritional/Metabolic factor	0	16.530643	0	0	0	0	0	9.815366	0	37.150497	0	213.098083	0	0	0	23.22374	0	0	0
papG-III	Nutritional/Metabolic factor	0	20.420202	0	0	0	5.557442	0	0	19.49234	0	0	0	0	0	0	0	0	0	0
papH	Nutritional/Metabolic factor	0	0	0	0	0	26.803623	0	0	17.5119	208.435318	0	715.499146	0	0	0	0	0	48.04517	0
papI	Nutritional/Metabolic factor	0	0	0	0	0	0	0	5.285178	0	0	0	59.361496	0	0	0	0	0	0	0
papX	Nutritional/Metabolic factor	129.594254	75.983902	0	0	0	0	0	6.721392	252.304916	0	0	13.23057	0	0	0	42.408413	0	72.600441	0
sitA	Nutritional/Metabolic factor	994.297852	1661.03125	1182.635376	0	49.996571	59.773533	0	1045.516602	1233.752075	507.151886	0	960.009583	0	422.088989	0	1950.33606	0	3406.682373	848.907166
sitB	Nutritional/Metabolic factor	724.642151	2083.25293	1411.775391	0	36.833126	296.084106	0	1158.602051	1883.353394	1301.452148	0	1225.46582	0	1159.774048	0	2394.60791	0	2507.925049	659.166992
ybtA	Nutritional/Metabolic factor	30.042328	67.046303	220.028107	0	0	15.663383	0	348.741302	133.035843	9.752003	0	58.474075	0	0	0	356.50647	0	140.751785	0
ybtE	Nutritional/Metabolic factor	143.525986	1127.226196	16.285038	0	0	81.931213	0	126.811592	1137.841797	11.865596	0	0	0	0	0	952.202026	0	313.521393	0
ybtP	Nutritional/Metabolic factor	772.491577	1455.041992	410.970062	0	0	285.015625	0	645.745605	2204.716553	20.631292	0	0	0	0	0	1457.930786	0	925.819275	20.455744
ybtQ	Nutritional/Metabolic factor	601.806213	1703.55542	399.922913	0	0	372.449585	0	748.281433	2173.762451	21.250463	0	28.570074	0	0	0	1645.303955	0	914.825439	80.383202
ybtS	Nutritional/Metabolic factor	744.253479	1738.643311	375.43457	0	0	493.885559	0	868.307251	1942.400391	35.869381	0	40.052578	0	0	0	1505.380371	0	1160.426392	0
ybtT	Nutritional/Metabolic factor	228.964951	1398.014648	10.68908	0	0	41.989071	0	159.71637	1444.799561	0	0	0	0	0	0	1340.541016	0	707.091614	0
ybtU	Nutritional/Metabolic factor	157.263733	1201.901001	0	0	0	149.562378	0	90.502869	1406.515503	3.167818	0	6.6334	0	0	0	1515.597534	0	491.27774	0
ybtX	Nutritional/Metabolic factor	511.093353	1800.498169	418.867767	0	0	661.718018	0	769.607605	2809.334961	6.986014	0	37.3694	0	0	0	1679.416748	769.028381	640.73053	178.826263
