Strain	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
Shigella_sonnei	0.008434609	8.98E-05	0.116075404	0.001044932	0.037414966	0.193353474	0.002128375	0.267066697	0.058003346	0.63186374	0.171259566	3.49E-05	0.002148785	0.039158477	0.169943564	0.078345763	0.001767084	0.102119909	0.072094884
Prevotella_timonensis	0.359876655	0.001346318	0.005863144	0.308254963	0.057823129	0.001041775	0.378738658	0.002861759	0.002402505	0.000122979	7.02E-05	0.001188271	0.036084766	0.062807125	0.000612865	0.025834395	0.639829585	0.017344713	0.025094008
Prevotella_dentalis	0.172773445	0.001929722	0.005417842	0.385579937	0.027210884	0.001840469	0.340203876	0.001769367	0.003260543	6.15E-05	0.000193077	0.001118373	0.033417309	0.072020885	0.000371505	0.006430745	0.088426811	0.00697177	0.04055101
Porphyromonas_uenonis	0.099764194	0.000807791	0.010909901	0.187042842	0.234693878	0.00041671	0.144393413	0.001492422	0.00137286	0.000122979	0.00021063	0.000594136	0.043864849	0.023187961	5.92E-05	0.005790108	0.222265256	0.001622228	0.017050572
Blautia_wexlerae	0.100671141	0.000134632	0.001187472	0.033437827	0.017006803	0.000347258	0.09062395	0.000630818	0.000257411	0	1.76E-05	0.000244644	0.009039715	0.011517199	0.000141977	0.003652329	0.016629953	0.023414304	0.003760322
Barnesiella_intestinihominis	0	0	0	0	0	0	0	0	0	6.15E-05	0	0	0.13655898	0	0	0	0	0	0
Dialister_invisus	0	8.98E-05	0.000371085	0	0.010204082	0	0	0.002138626	0	0.000491914	0	0	0.366553053	0	0	0	0	0	0
Lactobacillus_iners	0	0	0	0	0	0	0	1.54E-05	0	0	0	0	0.162048014	0	0	0	0	0	0
Anaeroglobus_geminatus	0	4.49E-05	7.42E-05	0	0	0	0	0.000107701	0	0.000122979	0	0	0.086544161	0	0	0	0	0	0
Lactobacillus_johnsonii	0.012606566	4.49E-05	7.42E-05	0.034482759	0.003401361	0	0.000784138	0.000400031	0	0	0	0	0.042827504	0	2.37E-06	0	0	0	0
Lactobacillus_crispatus	0.086522764	0	0	0.020898642	0	0	0.007281282	3.08E-05	0	0	0	0	0	0	0	0	0	0	0
Peptoniphilus_lacrimalis	0	0	7.42E-05	0	0	0	0	1.54E-05	0	6.15E-05	0	0	0.054460581	0	0	0	0	0	0
Porphyromonas_somerae	0.02593869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_oris	0.046345003	0.008302293	0.078373163	0.002089864	0.265306122	0.005625586	0.000448079	0.128302177	0.008451671	0.008362541	0.160745629	0.006500542	7.41E-05	0.286701474	0.164839507	0.003976129	0.000677786	0.022156335	0.001108571
Escherichia_coli	0.055686559	0.987209981	0.781579338	0.004179728	0.346938776	0.797374727	0.030357343	0.595138088	0.926251662	0.358728402	0.667503335	0.990319086	0.016375222	0.50460688	0.664029058	0.875970531	0.030403524	0.826370741	0.840340634
Lactobacillus_acidophilus	0.02439688	0	0	0.020898642	0	0	0.00403271	1.54E-05	0	0	0	0	0.010002964	0	0	0	0	0	0
Lactobacillus_amylolyticus	0.006983494	0	0	0.002089864	0	0	0.001008177	1.54E-05	0	0	0	0	0	0	0	0	0	0	0
